# Blocks-15.0.0.txt
# 日期：2022-01-28, 20:58:00 GMT [KW]
# © 2022 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

# ------------------------------------------------
# 路线图区段名标注：
#	〓标示此区段尚为路线图。
#	【已正式被UTC或WG2接受的】
#	(已正式向UTC或WG2提案的)
#	¿尚未编写详细提案的?
#	~标示码位有冲突~
#	¿¿¿欠分配的???
#	✱标示此区段有意外用途，未来码位或有冲突。

110D0..110FF; 110D0索拉索姆彭|𑃐𑃦𑃝𑃗 𑃐𑃦𑃖𑃣𑃗|Sora Sompeng
11100..1114F; 11100查克马|𑄌𑄋𑄴𑄟𑄳𑄦|Chakma
11150..1117F; 11150默哈杰内|𑅬𑅱𑅐𑅛𑅧𑅑|Mahajani
11180..111DF; 11180沙勒德|𑆯𑆳𑆫𑆢𑆳|Sharada
111E0..111FF; 111E0僧伽罗古数字|Sinhala Archaic Numbers
11200..1124F; 11200科杰基|𑈉𑈲𑈐𑈈𑈮|Khojki
11250..1127F; 〓1125?伦达(Landa)
11280..112AF; 11280木尔坦|𑊠𑊂𑊣𑊖𑊀𑊚𑊁|Multani
112B0..112FF; 112B0库达本德|𑊻𑋩𑋣𑋏𑋠𑋔𑋠𑋏𑋢|Khudawadi
11300..1137F; 11300格兰他|𑌗𑍍𑌰𑌨𑍍𑌥|Grantha
11380..113FF; 〓11380图卢蒂格拉里【Tulu-Tigalari】
11400..1147F; 11400内瓦|𑐣𑐾𑐰𑐵𑑅|Newa
11480..114DF; 11480蒂勒胡塔|𑒞𑒱𑒩𑒯𑒳𑒞𑒰|Tirhuta
114E0..114FF; 〓114E?塔尼(Tani)
11500..1157F; 〓1150?兰札(Ranjana)
11580..115FF; 11580悉昙|𑖭𑖰𑖟𑖿𑖠𑖽|Siddham
11600..1165F; 11600莫迪|𑘦𑘻𑘚𑘲|Modi
11660..1167F; 11660蒙文补充|Mongolian Supplement
11680..116CF; 11680塔克里|𑚔𑚭𑚊𑚤𑚯|Takri
116D0..116FF; 〓116D0缅甸扩充丙【Myanmar Extended-C】
11700..1174F; 11700阿含|𑜒𑜑𑜪𑜨|Ahom
11750..117AF; 〓1175?藻文(Zou)
117B0..117FF; 〓117B?彪文(Pyu)
11800..1184F; 11800道格拉|𑠖𑠵𑠌𑠤𑠬|Dogra
11850..1188F; 〓1185?斯尔毛(Sirmauri)
118A0..118FF; 118A0瓦朗奇蒂|𑢹𑣗𑣁𑣜𑣊 𑢯𑣂𑣕𑣂|Warang Citi
11900..1195F; 11900迪维希阿库鲁|𑤝𑤱𑤩𑤴𑤬𑤽 𑤥𑤌𑤳𑤧𑤳|Dives Akuru
11960..1199F; 〓1196?沃泰卢图(Vatteluttu)
119A0..119FF; 119A0嫩迪城体|𑧁𑧞𑦿𑧒𑧁𑧑𑦰𑧈𑧓|Nandinagari
11A00..11A4F; 11A00札那巴札尔方字|𑨢𑨆𑨏𑨳𑨋𑨆𑨬𑨳|Zanabazar Square
11A50..11AAF; 11A50索永布|𑪁𑩖𑩻𑩖𑪌𑩰𑩖|Soyombo
11AB0..11ABF; 11AB0统一加拿大土著音节扩充甲|Unified Canadian Aboriginal Syllabics Extended-A
11AC0..11AFF; 11AC0包钦豪|Pau Cin Hau
11B00..11B5F; 11B00天城体扩充甲|Devanagari Extended-A
11B60..11B7F; 〓11B??沙勒德扩充¿Sharada Extensions?
11B80..11BBF; 〓11B8?莱革(Leke)
11BC0..11BFF; 〓11BC0苏努瓦尔【Sunuwar】
11C00..11C6F; 11C00比克舒基|𑰥𑰹𑰎𑰿𑰬𑰲𑰎𑰱|Bhaiksuki
11C70..11CBF; 11C70玛尔钦体|Marchen
11D00..11D5F; 11D00马萨拉姆贡德|𑴤𑴫𑴦𑴱𑴤 𑴎𑴽𑵀𑴘𑴳|Masaram Gondi
11D60..11DAF; 11D60贡贾尔贡德|𑵶𑶓𑶕𑶂𑶋 𑵵𑶋𑶅𑶋|Gunjala Gondi
11DB0..11DEF; 〓11DB0托隆西基【Tolong Siki】
